Data,Hora,T1(C),H1(%),T2(C),H2(%),T3(C),H3(%),Solo_Bruto,Solo(%)
2026/07/18,12:40:00,28.36,36.9,22.13,95.0,28.66,47.7,1019.57,0.0
2026/07/18,13:00:00,29.16,35.77,22.19,95.0,29.51,46.35,1019.72,0.0
2026/07/18,13:20:00,30.34,33.88,22.55,95.0,31.49,43.32,1019.24,0.0
2026/07/18,13:40:00,28.38,36.64,22.68,95.0,28.92,46.37,1019.17,0.0
2026/07/18,14:00:00,28.52,35.28,22.86,95.0,30.16,43.46,1019.21,0.0
2026/07/18,14:20:00,28.51,35.69,22.97,95.0,29.18,45.31,1019.43,0.0
2026/07/18,14:40:00,28.17,36.24,23.0,95.0,29.16,44.93,1019.42,0.0
2026/07/18,15:00:00,29.35,33.68,23.05,95.0,29.25,44.75,1019.49,0.0
2026/07/18,15:20:00,28.94,34.07,23.16,95.0,34.57,37.26,1019.62,0.0
2026/07/18,15:40:00,30.07,31.64,23.3,95.0,32.46,38.44,1019.68,0.0
2026/07/18,16:00:00,27.65,35.48,23.29,95.0,28.93,44.22,1019.58,0.0
2026/07/18,16:20:00,26.87,37.77,23.27,95.0,27.77,46.84,1019.64,0.0
2026/07/18,16:40:00,26.3,39.28,23.29,95.0,27.21,47.85,1019.76,0.0
2026/07/18,17:00:00,25.62,41.89,23.35,95.0,26.56,51.12,1019.69,0.0
2026/07/18,17:20:00,24.09,47.53,23.41,95.0,25.28,54.58,1019.44,0.0
2026/07/18,17:40:00,22.94,51.93,23.48,95.0,23.95,57.81,1019.41,0.0
2026/07/18,18:00:00,21.93,55.74,23.57,95.0,22.92,61.2,1018.95,0.0
2026/07/18,18:20:00,21.1,57.17,23.63,95.0,22.36,62.16,1018.67,0.0
2026/07/18,18:40:00,20.04,59.06,23.67,95.0,21.83,62.67,1018.79,0.0
2026/07/18,19:00:00,19.7,60.37,23.67,95.0,21.3,63.4,1018.74,0.0
2026/07/18,19:20:00,19.87,60.31,23.61,95.0,20.78,65.15,1018.86,0.0
2026/07/18,19:40:00,19.54,61.92,23.53,95.0,20.4,66.64,1018.96,0.0
2026/07/18,20:00:00,19.45,61.89,23.43,95.0,20.22,66.76,1019.03,0.0
2026/07/18,20:20:00,18.99,63.64,23.31,95.0,20.16,67.1,1019.01,0.0
2026/07/18,20:40:00,18.76,64.58,23.24,95.0,19.89,67.76,1019.0,0.0
2026/07/18,21:00:00,18.78,64.59,23.22,95.0,19.84,67.84,1019.05,0.0
2026/07/18,21:20:00,18.81,64.01,23.23,95.0,19.64,68.06,1019.13,0.0
2026/07/18,21:40:00,18.64,64.82,23.2,95.0,19.6,68.24,1019.2,0.0
2026/07/18,22:00:00,18.69,64.39,23.17,95.0,19.48,68.09,1019.3,0.0
2026/07/18,22:20:00,18.37,65.62,23.11,95.0,19.31,68.87,1019.32,0.0
2026/07/18,22:40:00,18.16,66.8,23.06,95.0,19.09,69.67,1019.41,0.0
2026/07/18,23:00:00,18.08,66.44,23.02,95.0,18.93,69.6,1019.38,0.0
2026/07/18,23:20:00,18.06,66.0,22.98,95.0,18.82,68.98,1019.4,0.0
2026/07/18,23:40:00,18.1,65.74,22.95,95.0,18.81,68.86,1019.49,0.0
2026/07/19,00:00:00,18.09,65.79,22.94,95.0,18.77,68.97,1019.52,0.0
2026/07/19,00:20:00,17.98,66.0,22.91,95.0,18.67,69.54,1019.57,0.0
2026/07/19,00:40:00,17.88,66.21,22.89,95.0,18.6,70.05,1019.61,0.0
2026/07/19,01:00:00,17.75,67.11,22.82,95.0,18.51,70.85,1019.7,0.0
2026/07/19,01:20:00,17.71,67.8,22.76,95.0,18.43,71.45,1019.66,0.0
2026/07/19,01:40:00,17.58,69.19,22.73,95.0,18.27,72.49,1019.76,0.0
2026/07/19,02:00:00,17.45,70.03,22.71,95.0,18.18,73.29,1019.82,0.0
2026/07/19,02:20:00,17.38,69.25,22.62,95.0,18.17,72.83,1019.9,0.0
2026/07/19,02:40:00,17.45,68.27,22.56,95.0,18.16,72.36,1020.0,0.0
2026/07/19,03:00:00,17.35,69.26,22.52,95.0,18.14,72.89,1020.03,0.0
2026/07/19,03:20:00,17.19,70.02,22.48,95.0,17.97,73.42,1020.03,0.0
2026/07/19,03:40:00,17.09,70.9,22.41,95.0,17.92,73.79,1019.97,0.0
2026/07/19,04:00:00,16.98,71.64,22.34,95.0,17.75,74.5,1020.0,0.0
2026/07/19,04:20:00,16.89,72.73,22.26,95.0,17.73,74.82,1020.03,0.0
2026/07/19,04:40:00,16.94,72.65,22.21,95.0,17.77,74.99,1020.03,0.0
2026/07/19,05:00:00,16.88,72.93,22.18,95.0,17.74,74.93,1020.08,0.0
2026/07/19,05:20:00,16.76,73.72,22.14,95.0,17.61,75.41,1020.07,0.0
2026/07/19,05:40:00,16.58,74.26,22.11,95.0,17.45,75.83,1020.11,0.0
2026/07/19,06:00:00,16.47,75.05,22.09,95.0,17.36,76.41,1020.14,0.0
2026/07/19,06:20:00,16.58,74.23,22.06,94.99,17.33,76.15,1020.12,0.0
2026/07/19,06:40:00,16.34,75.14,22.02,94.95,17.24,76.53,1020.21,0.0
2026/07/19,07:00:00,16.65,75.13,21.99,94.85,17.43,76.84,1020.24,0.0
2026/07/19,07:20:00,17.43,71.7,21.96,94.7,17.9,75.46,1020.27,0.0
2026/07/19,07:40:00,18.73,66.61,21.96,94.72,19.0,71.52,1020.25,0.0
2026/07/19,08:00:00,19.73,62.53,21.91,94.33,19.98,69.44,1020.29,0.0
2026/07/19,08:20:00,21.08,57.89,21.84,94.04,21.09,65.77,1020.33,0.0
2026/07/19,08:40:00,21.65,56.65,21.79,94.01,21.8,64.46,1020.33,0.0
2026/07/19,09:00:00,22.56,54.3,21.73,94.01,22.72,62.0,1020.23,0.0
2026/07/19,09:20:00,23.8,49.54,21.72,94.02,23.54,59.95,1020.21,0.0
2026/07/19,09:40:00,24.46,47.53,21.72,94.12,24.63,57.44,1020.23,0.0
2026/07/19,10:00:00,25.27,44.28,21.75,94.26,25.77,54.26,1020.17,0.0
2026/07/19,10:20:00,26.64,40.74,21.83,94.26,25.82,53.2,1020.08,0.0
2026/07/19,10:40:00,27.0,39.53,21.9,94.44,26.08,52.11,1020.13,0.0
2026/07/19,11:00:00,27.13,39.37,21.98,94.78,26.39,51.48,1020.15,0.0
2026/07/19,11:20:00,29.17,35.56,22.02,94.99,27.66,49.04,1020.1,0.0
2026/07/19,11:40:00,28.17,37.57,22.06,95.0,27.56,49.7,1020.02,0.0
2026/07/19,12:00:00,27.73,37.97,22.12,95.0,27.52,49.39,1020.02,0.0
