Data,Hora,T1(C),H1(%),T2(C),H2(%),T3(C),H3(%),Solo_Bruto,Solo(%)
2026/07/17,12:40:00,41.46,23.34,24.3,95.0,35.71,31.36,1015.04,0.21
2026/07/17,13:00:00,42.1,22.28,24.89,95.0,35.88,31.15,1012.68,0.51
2026/07/17,13:20:00,43.19,21.89,25.27,95.0,36.16,30.83,1011.75,0.62
2026/07/17,13:40:00,43.13,21.74,25.91,95.0,36.04,31.18,1011.21,0.67
2026/07/17,14:00:00,43.19,21.65,26.59,95.0,35.96,31.0,1009.71,0.91
2026/07/17,14:20:00,42.3,21.68,26.96,95.0,35.18,31.83,1006.78,1.0
2026/07/17,14:40:00,41.8,22.08,27.37,95.0,34.22,32.24,1005.75,1.04
2026/07/17,15:00:00,42.14,22.07,27.7,95.0,33.93,33.23,1004.85,1.07
2026/07/17,15:20:00,41.05,22.05,27.82,95.0,33.57,33.64,1004.57,1.19
2026/07/17,15:40:00,38.82,23.28,27.68,95.0,32.23,34.62,1004.88,1.15
2026/07/17,16:00:00,37.95,23.54,27.67,95.0,31.56,35.46,1005.2,1.08
2026/07/17,16:20:00,35.87,24.48,27.6,95.0,30.15,36.44,1006.58,1.02
2026/07/17,16:40:00,33.32,26.55,27.21,95.0,28.53,37.41,1007.68,1.0
2026/07/17,17:00:00,30.89,28.44,27.08,95.0,27.47,39.8,1008.77,1.0
2026/07/17,17:20:00,25.4,32.67,26.66,95.0,25.72,42.87,1009.31,0.92
2026/07/17,17:40:00,21.24,41.35,26.3,95.0,23.78,48.41,1010.13,0.77
2026/07/17,18:00:00,20.19,43.49,26.28,95.0,22.82,51.72,1010.17,0.8
2026/07/17,18:20:00,18.34,49.8,25.45,95.0,21.46,54.97,1011.19,0.69
2026/07/17,18:40:00,17.17,54.38,24.8,95.0,20.48,57.57,1011.6,0.64
2026/07/17,19:00:00,16.38,58.8,24.36,95.0,19.76,60.33,1011.58,0.7
2026/07/17,19:20:00,15.19,63.87,23.96,95.0,18.92,64.77,1011.98,0.59
2026/07/17,19:40:00,14.66,68.03,23.64,95.0,18.43,67.12,1011.95,0.62
2026/07/17,20:00:00,14.68,69.27,23.25,95.0,18.21,69.19,1012.72,0.46
2026/07/17,20:20:00,16.39,59.05,22.66,95.0,18.65,67.37,1012.9,0.46
2026/07/17,20:40:00,17.88,51.3,22.18,94.85,19.33,63.11,1013.25,0.4
2026/07/17,21:00:00,18.69,48.81,21.83,94.09,19.99,58.82,1013.56,0.41
2026/07/17,21:20:00,18.49,49.9,21.52,94.0,20.0,59.7,1013.69,0.35
2026/07/17,21:40:00,18.67,48.97,21.46,94.0,20.08,59.88,1013.8,0.34
2026/07/17,22:00:00,18.69,49.42,21.35,94.0,20.1,60.23,1013.6,0.41
2026/07/17,22:20:00,18.77,49.64,21.14,94.0,20.11,60.46,1013.65,0.39
2026/07/17,22:40:00,18.55,51.28,21.11,93.99,20.02,61.65,1013.48,0.42
2026/07/17,23:00:00,18.44,52.57,21.04,93.95,19.89,62.96,1013.93,0.37
2026/07/17,23:20:00,18.34,53.4,20.89,93.35,19.76,63.62,1014.03,0.36
2026/07/17,23:40:00,18.13,54.35,20.81,93.03,19.66,64.39,1014.17,0.4
2026/07/18,00:00:00,18.19,55.01,20.67,93.0,19.62,65.12,1014.26,0.36
2026/07/18,00:20:00,18.24,55.22,20.61,93.0,19.63,65.73,1014.28,0.35
2026/07/18,00:40:00,18.18,55.65,20.54,93.0,19.59,66.32,1014.31,0.35
2026/07/18,01:00:00,18.07,56.22,20.39,93.0,19.48,66.82,1014.38,0.34
2026/07/18,01:20:00,17.86,56.92,20.29,93.0,19.41,67.4,1014.34,0.34
2026/07/18,01:40:00,18.08,56.2,20.2,93.0,19.43,66.92,1014.32,0.36
