Data,Hora,T1(C),H1(%),T2(C),H2(%),T3(C),H3(%),Solo_Bruto,Solo(%)
2026/07/18,12:00:00,24.26,47.89,17.15,78.24,24.45,59.42,1008.66,1.0
2026/07/18,12:20:00,24.18,47.67,16.94,81.2,24.41,59.49,1007.45,1.0
2026/07/18,12:40:00,24.56,47.28,16.99,82.35,24.66,59.5,1006.79,1.0
2026/07/18,13:00:00,25.05,44.71,17.47,81.9,25.0,57.41,1006.01,1.0
2026/07/18,13:20:00,24.79,45.84,17.61,81.73,25.04,58.03,1005.71,1.03
2026/07/18,13:40:00,25.14,45.23,17.81,82.01,25.26,57.96,1004.12,1.14
2026/07/18,14:00:00,24.83,46.57,17.89,82.11,25.16,58.82,1002.34,1.46
2026/07/18,14:20:00,24.96,44.91,17.89,82.82,25.22,56.95,1001.53,1.62
2026/07/18,14:40:00,24.84,45.75,17.94,83.41,25.11,57.83,1000.99,1.7
2026/07/18,15:00:00,24.89,45.23,18.07,83.7,25.13,57.36,999.99,1.81
2026/07/18,15:20:00,24.7,45.23,18.19,84.24,25.03,57.35,999.22,1.9
2026/07/18,15:40:00,24.62,44.95,18.27,84.99,24.95,56.64,998.48,1.99
2026/07/18,16:00:00,24.3,46.7,18.34,85.0,24.72,57.89,997.83,2.0
2026/07/18,16:20:00,23.64,50.04,18.41,85.0,24.22,60.9,997.31,2.0
2026/07/18,16:40:00,23.35,50.8,18.48,85.62,23.89,62.68,996.68,2.0
2026/07/18,17:00:00,23.2,50.29,18.5,86.0,23.7,61.84,995.17,2.0
2026/07/18,17:20:00,22.69,52.86,18.56,86.0,23.36,63.71,994.82,2.0
2026/07/18,17:40:00,22.0,54.83,18.6,86.16,22.83,65.02,994.45,2.03
2026/07/18,18:00:00,20.81,56.45,18.64,86.99,21.89,67.0,993.75,2.19
2026/07/18,18:20:00,19.76,59.3,18.69,87.0,21.05,69.18,992.7,2.59
2026/07/18,18:40:00,18.96,62.91,18.69,87.19,20.3,72.1,992.2,2.8
2026/07/18,19:00:00,18.15,65.6,18.63,88.0,19.49,74.13,991.79,2.92
2026/07/18,19:20:00,17.72,66.07,18.56,88.0,19.01,75.05,991.38,2.98
2026/07/18,19:40:00,17.37,67.53,18.48,88.0,18.62,76.61,990.62,3.0
2026/07/18,20:00:00,16.97,68.78,18.44,88.54,18.31,77.26,990.06,3.0
2026/07/18,20:20:00,16.5,69.89,18.42,89.0,17.86,77.8,990.09,3.0
2026/07/18,20:40:00,16.14,70.96,18.39,89.0,17.55,78.41,989.92,3.0
2026/07/18,21:00:00,15.78,71.25,18.37,89.01,17.19,79.18,989.34,3.0
2026/07/18,21:20:00,15.54,71.79,18.34,89.43,16.96,79.81,989.14,3.0
2026/07/18,21:40:00,15.19,72.94,18.29,90.0,16.77,80.08,988.05,3.0
2026/07/18,22:00:00,15.01,73.45,18.18,89.92,16.51,80.55,988.13,3.0
2026/07/18,22:20:00,14.78,73.99,18.1,89.64,16.26,81.08,988.29,3.0
2026/07/18,22:40:00,14.64,74.32,17.99,89.71,16.06,81.52,989.52,3.0
2026/07/18,23:00:00,14.45,75.07,17.95,90.43,15.95,81.35,989.09,3.0
2026/07/18,23:20:00,14.32,75.67,17.93,90.36,15.74,81.88,989.94,3.0
2026/07/18,23:40:00,14.27,75.87,17.9,90.19,15.63,82.31,990.08,3.0
2026/07/19,00:00:00,14.08,76.4,17.84,90.51,15.54,82.28,990.02,3.0
2026/07/19,00:20:00,13.98,76.99,17.81,90.97,15.36,82.17,988.5,3.0
2026/07/19,00:40:00,14.02,76.94,17.71,91.0,15.39,82.28,987.71,3.0
2026/07/19,01:00:00,14.03,77.24,17.53,91.0,15.35,82.87,987.48,3.0
2026/07/19,01:20:00,14.32,76.97,17.45,91.0,15.47,83.43,987.36,3.0
2026/07/19,01:40:00,14.53,75.81,17.36,91.0,15.56,83.82,987.39,3.0
2026/07/19,02:00:00,14.49,76.38,17.19,91.23,15.63,83.6,987.42,3.0
2026/07/19,02:20:00,14.46,76.67,17.14,91.09,15.68,83.24,987.46,3.0
2026/07/19,02:40:00,14.29,77.06,17.11,91.43,15.57,82.88,986.96,3.0
2026/07/19,03:00:00,14.13,77.42,17.07,92.0,15.46,82.84,987.15,3.0
2026/07/19,03:20:00,14.04,77.0,17.06,92.0,15.37,82.49,986.43,3.0
2026/07/19,03:40:00,13.96,77.43,17.03,92.0,15.25,82.43,985.68,3.0
2026/07/19,04:00:00,13.85,77.98,16.93,92.0,15.14,82.82,985.64,3.0
2026/07/19,04:20:00,13.84,78.04,16.84,92.0,15.02,83.23,985.48,3.0
2026/07/19,04:40:00,13.73,78.12,16.75,92.0,15.01,83.01,985.35,3.0
2026/07/19,05:00:00,13.46,79.03,16.6,92.0,14.75,83.49,985.37,3.0
2026/07/19,05:20:00,13.44,79.15,16.54,92.0,14.76,83.41,985.27,3.0
2026/07/19,05:40:00,13.35,79.12,16.47,92.0,14.59,83.72,985.11,3.0
2026/07/19,06:00:00,12.86,78.92,16.45,92.0,14.3,82.8,985.06,3.0
2026/07/19,06:20:00,12.7,79.08,16.42,92.0,14.09,82.74,985.13,3.0
2026/07/19,06:40:00,12.51,79.74,16.38,92.0,13.84,83.13,985.08,3.0
2026/07/19,07:00:00,12.64,79.95,16.3,91.95,13.91,83.69,984.96,3.0
2026/07/19,07:20:00,13.2,80.16,16.24,91.87,14.31,84.5,984.94,3.0
2026/07/19,07:40:00,14.07,79.28,16.16,91.81,14.98,85.03,985.02,3.0
2026/07/19,08:00:00,16.49,73.03,16.07,91.79,16.0,84.87,985.11,3.0
2026/07/19,08:20:00,17.33,74.9,16.06,91.99,17.19,85.49,984.96,3.01
2026/07/19,08:40:00,18.29,74.42,16.05,91.99,18.2,85.45,985.12,3.0
2026/07/19,09:00:00,19.31,70.63,16.08,91.97,19.27,84.05,985.11,3.0
2026/07/19,09:20:00,20.03,66.83,16.16,91.99,20.02,81.07,985.06,3.0
2026/07/19,09:40:00,21.08,62.36,16.32,91.86,20.94,76.9,984.94,3.01
2026/07/19,10:00:00,21.91,58.49,16.36,91.09,21.65,72.25,984.8,3.01
2026/07/19,10:20:00,23.42,54.27,16.3,91.0,22.69,68.71,984.55,3.03
2026/07/19,10:40:00,24.0,51.18,16.42,90.79,23.4,64.9,984.49,3.05
2026/07/19,11:00:00,24.35,50.13,16.56,90.04,24.03,63.24,984.09,3.12
2026/07/19,11:20:00,24.94,48.36,16.61,90.0,24.49,61.94,984.53,3.05
