Data,Hora,T1(C),H1(%),T2(C),H2(%),T3(C),H3(%),Solo_Bruto,Solo(%)
2026/07/21,13:00:00,25.57,46.84,21.97,94.67,25.9,57.82,1012.4,0.53
2026/07/21,13:20:00,25.57,47.58,21.95,94.59,25.9,58.75,1012.41,0.53
2026/07/21,13:40:00,25.71,45.96,22.06,94.98,25.9,57.52,1012.7,0.5
2026/07/21,14:00:00,25.66,47.12,22.1,95.0,25.9,58.48,1012.35,0.55
2026/07/21,14:20:00,25.69,44.36,22.12,95.0,25.83,56.39,1011.34,0.73
2026/07/21,14:40:00,25.49,46.44,22.18,95.0,25.8,57.11,1011.6,0.68
2026/07/21,15:00:00,25.15,48.03,22.24,95.0,25.7,58.58,1011.07,0.78
2026/07/21,15:20:00,24.91,49.31,22.3,95.0,25.42,59.21,1010.75,0.81
2026/07/21,15:40:00,24.73,50.02,22.37,95.0,25.26,59.81,1010.53,0.84
2026/07/21,16:00:00,24.36,50.69,22.44,95.0,24.98,60.46,1010.43,0.86
2026/07/21,16:20:00,24.19,53.08,22.5,95.0,24.79,61.79,1010.38,0.86
2026/07/21,16:40:00,24.02,52.71,22.59,95.0,24.56,61.92,1010.08,0.89
2026/07/21,17:00:00,23.47,54.12,22.72,95.0,24.24,62.5,1010.53,0.86
2026/07/21,17:20:00,22.97,56.51,22.86,95.0,23.85,63.56,1010.6,0.84
2026/07/21,17:40:00,21.87,60.51,23.01,95.0,23.29,65.17,1010.18,0.88
2026/07/21,18:00:00,20.78,62.94,23.14,95.0,22.49,66.82,1010.6,0.83
2026/07/21,18:20:00,19.73,65.71,23.27,95.0,21.64,68.24,1010.78,0.8
2026/07/21,18:40:00,19.01,68.69,23.44,95.0,20.9,69.87,1010.78,0.8
2026/07/21,19:00:00,18.36,72.17,23.55,95.0,20.25,71.74,1010.25,0.88
2026/07/21,19:20:00,17.76,73.73,23.64,95.0,19.64,73.38,1010.18,0.89
2026/07/21,19:40:00,17.27,75.5,23.66,95.0,19.16,74.48,1010.06,0.91
2026/07/21,20:00:00,16.75,77.63,23.71,95.0,18.69,75.46,1009.88,0.93
2026/07/21,20:20:00,16.37,79.4,23.79,95.0,18.27,76.35,1009.76,0.94
