Data,Hora,T1(C),H1(%),T2(C),H2(%),T3(C),H3(%),Solo_Bruto,Solo(%)
2026/07/15,12:00:00,31.9,40.98,22.18,94.91,30.84,55.57,1021.64,0.0
2026/07/15,12:20:00,34.27,35.79,22.36,95.0,31.93,53.05,1021.69,0.0
2026/07/15,12:40:00,37.52,29.53,22.46,95.0,33.69,49.31,1021.55,0.0
2026/07/15,13:00:00,42.64,22.15,22.62,95.0,34.9,46.51,1021.8,0.0
2026/07/15,13:20:00,43.56,20.63,22.9,95.0,34.95,46.21,1021.62,0.0
2026/07/15,13:40:00,41.03,23.61,23.16,95.0,34.25,47.54,1021.88,0.0
2026/07/15,14:00:00,37.89,28.17,23.35,95.0,33.43,49.23,1021.59,0.0
2026/07/15,14:20:00,34.09,34.45,23.48,94.15,32.93,49.58,1021.83,0.0
2026/07/15,14:40:00,34.07,34.47,23.62,95.0,32.82,50.04,1021.75,0.0
2026/07/15,15:00:00,32.53,37.33,23.72,94.95,32.16,51.01,1021.66,0.0
2026/07/15,15:20:00,34.15,33.59,23.82,95.0,31.74,51.26,1021.59,0.0
2026/07/15,15:40:00,33.7,34.57,23.98,95.0,31.51,51.77,1021.7,0.0
2026/07/15,16:00:00,32.79,36.37,24.07,95.0,31.71,51.4,1021.82,0.0
2026/07/15,16:20:00,33.15,35.54,24.14,95.0,31.3,51.98,1021.67,0.0
2026/07/15,16:40:00,29.97,42.32,24.21,95.0,30.58,54.03,1021.71,0.0
2026/07/15,17:00:00,27.63,48.19,24.29,95.0,28.74,58.37,1021.61,0.0
2026/07/15,17:20:00,26.08,53.27,24.41,95.0,27.36,62.47,1021.69,0.0
2026/07/15,17:40:00,24.42,60.16,24.45,95.0,26.2,66.73,1021.62,0.0
2026/07/15,18:00:00,23.06,65.72,24.42,95.0,25.03,70.2,1021.52,0.0
2026/07/15,18:20:00,21.98,70.18,24.32,95.0,24.05,73.37,1021.58,0.0
2026/07/15,18:40:00,21.05,73.8,24.15,95.0,23.22,75.9,1021.58,0.0
2026/07/15,19:00:00,20.36,76.09,24.11,95.0,22.55,77.77,1021.34,0.0
2026/07/15,19:20:00,19.88,78.87,24.07,95.0,22.08,79.3,1021.68,0.0
2026/07/15,19:40:00,19.51,81.85,24.02,95.0,21.73,80.63,1021.55,0.0
2026/07/15,20:00:00,19.32,83.63,23.9,95.0,21.45,81.83,1021.52,0.0
2026/07/15,20:20:00,19.32,85.4,23.8,95.0,21.35,83.13,1021.59,0.0
2026/07/15,20:40:00,19.48,85.09,23.71,95.0,21.35,83.89,1021.44,0.0
2026/07/15,21:00:00,19.8,84.89,23.59,95.0,21.47,84.44,1021.58,0.0
2026/07/15,21:20:00,20.65,81.5,23.79,95.0,21.84,84.42,1022.1,0.0
2026/07/15,21:40:00,19.69,85.08,23.48,95.0,21.56,84.36,1021.7,0.0
2026/07/15,22:00:00,19.38,87.03,23.47,95.0,21.26,84.91,1021.4,0.0
2026/07/15,22:20:00,19.09,88.2,23.42,95.0,21.02,85.12,1021.39,0.0
2026/07/15,22:40:00,19.08,87.97,23.31,95.0,20.92,85.28,1021.6,0.0
2026/07/15,23:00:00,19.0,88.3,23.15,95.0,20.83,85.02,1021.44,0.0
2026/07/15,23:20:00,18.94,88.03,23.02,95.0,20.7,84.89,1021.65,0.0
2026/07/15,23:40:00,19.24,86.27,22.93,95.0,20.79,84.68,1021.75,0.0
2026/07/16,00:00:00,19.16,86.55,22.86,95.0,20.82,84.62,1021.52,0.0
2026/07/16,00:20:00,19.43,79.41,22.76,95.0,20.74,82.03,1021.4,0.0
2026/07/16,00:40:00,19.34,79.01,22.72,95.0,20.84,80.45,1021.67,0.0
2026/07/16,01:00:00,18.87,82.61,22.67,95.0,20.57,81.7,1021.36,0.0
2026/07/16,01:20:00,18.79,80.46,22.53,95.0,20.36,81.74,1021.96,0.0
2026/07/16,01:40:00,19.01,79.87,22.55,95.0,20.4,81.05,1021.85,0.0
2026/07/16,02:00:00,18.73,79.46,22.36,95.0,20.27,80.55,1021.64,0.0
2026/07/16,02:20:00,18.08,84.88,22.24,95.0,20.06,81.96,1021.42,0.0
2026/07/16,02:40:00,17.48,88.56,22.12,95.0,19.64,83.35,1021.42,0.0
2026/07/16,03:00:00,17.35,90.42,22.04,95.0,19.36,84.69,1021.5,0.0
2026/07/16,03:20:00,17.26,90.13,22.0,94.93,19.29,84.5,1021.51,0.0
2026/07/16,03:40:00,16.75,92.0,21.93,94.56,18.94,85.33,1021.54,0.0
2026/07/16,04:00:00,16.66,92.0,21.77,94.0,18.79,86.16,1021.43,0.0
2026/07/16,04:20:00,16.53,92.0,21.68,94.0,18.68,86.15,1021.54,0.0
2026/07/16,04:40:00,16.29,91.98,21.56,94.0,18.58,86.26,1021.3,0.0
2026/07/16,05:00:00,15.87,91.29,21.48,94.0,18.4,86.41,1021.45,0.0
2026/07/16,05:20:00,15.65,91.0,21.42,94.0,18.21,86.69,1021.47,0.0
2026/07/16,05:40:00,15.44,91.0,21.35,93.99,18.04,86.93,1021.58,0.0
2026/07/16,06:00:00,15.11,91.0,21.21,93.83,17.84,87.17,1021.48,0.0
2026/07/16,06:20:00,15.1,91.0,21.05,93.76,17.76,87.46,1021.47,0.0
2026/07/16,06:40:00,15.07,91.0,20.93,93.39,17.63,87.37,1021.31,0.0
2026/07/16,07:00:00,15.17,91.0,20.92,93.23,17.62,87.52,1021.47,0.0
2026/07/16,07:20:00,15.55,91.01,20.85,93.02,17.83,88.31,1021.39,0.0
