Data,Hora,T1(C),H1(%),T2(C),H2(%),T3(C),H3(%),Solo_Bruto,Solo(%)
2026/07/17,12:40:00,30.51,27.13,22.31,95.0,27.52,41.67,1021.01,0.0
2026/07/17,13:00:00,29.07,28.02,22.53,95.0,27.1,40.54,1021.2,0.0
2026/07/17,13:20:00,29.29,27.37,22.62,95.0,27.07,40.69,1021.24,0.0
2026/07/17,13:40:00,29.49,27.06,22.65,95.0,26.97,40.75,1020.93,0.0
2026/07/17,14:00:00,29.86,26.18,22.78,95.0,26.8,40.94,1021.04,0.0
2026/07/17,14:20:00,28.91,27.01,22.89,95.0,26.66,40.77,1021.18,0.0
2026/07/17,14:40:00,27.36,29.57,23.0,95.0,26.45,41.3,1021.1,0.0
2026/07/17,15:00:00,27.22,29.87,23.08,95.0,26.37,41.54,1021.07,0.0
2026/07/17,15:20:00,27.68,29.0,23.2,95.0,26.44,40.83,1020.97,0.0
2026/07/17,15:40:00,26.21,30.72,23.34,95.0,26.27,40.89,1021.13,0.0
2026/07/17,16:00:00,25.48,31.62,23.48,95.0,25.96,41.08,1021.23,0.0
2026/07/17,16:20:00,24.99,32.19,23.62,95.0,25.58,40.98,1020.91,0.0
2026/07/17,16:40:00,24.64,31.91,23.98,95.0,25.31,40.01,1021.29,0.0
2026/07/17,17:00:00,23.7,34.36,24.19,95.0,24.88,40.67,1021.27,0.0
2026/07/17,17:20:00,22.65,37.0,24.38,95.0,24.25,42.03,1021.26,0.0
2026/07/17,17:40:00,20.31,43.69,24.54,95.0,23.01,47.02,1021.22,0.0
2026/07/17,18:00:00,19.67,45.74,24.62,95.0,22.31,48.1,1021.21,0.0
2026/07/17,18:20:00,18.34,51.76,24.7,95.0,21.39,51.86,1021.22,0.0
2026/07/17,18:40:00,16.65,60.19,24.76,95.0,20.4,59.84,1021.26,0.0
2026/07/17,19:00:00,15.73,65.05,24.8,95.0,19.46,64.13,1021.23,0.0
2026/07/17,19:20:00,15.07,69.21,24.81,95.0,18.92,67.61,1021.19,0.0
2026/07/17,19:40:00,14.78,71.2,24.8,95.0,18.49,68.82,1021.17,0.0
2026/07/17,20:00:00,15.49,66.77,24.76,95.0,18.72,66.62,1021.16,0.0
2026/07/17,20:20:00,17.63,55.19,24.75,95.0,19.66,56.97,1021.16,0.0
2026/07/17,20:40:00,19.1,48.1,24.68,95.0,20.78,51.85,1021.22,0.0
2026/07/17,21:00:00,19.3,47.79,24.59,95.0,21.18,50.33,1021.21,0.0
2026/07/17,21:20:00,19.19,49.04,24.51,95.0,21.21,51.1,1021.2,0.0
2026/07/17,21:40:00,19.25,49.22,24.45,95.0,21.27,51.37,1021.21,0.0
2026/07/17,22:00:00,19.04,51.08,24.32,95.0,21.13,52.52,1021.24,0.0
2026/07/17,22:20:00,19.3,50.65,24.19,95.0,21.2,52.92,1021.22,0.0
2026/07/17,22:40:00,19.26,51.55,24.1,95.0,21.24,53.65,1021.17,0.0
2026/07/17,23:00:00,19.07,53.32,24.04,95.0,21.14,54.82,1021.24,0.0
2026/07/17,23:20:00,19.13,53.39,24.0,95.0,21.06,55.42,1021.23,0.0
2026/07/17,23:40:00,18.98,54.68,23.98,95.0,20.96,56.21,1021.23,0.0
2026/07/18,00:00:00,18.79,55.88,23.89,95.0,20.92,56.8,1021.18,0.0
2026/07/18,00:20:00,18.84,56.4,23.79,95.0,20.81,57.64,1021.19,0.0
2026/07/18,00:40:00,18.6,57.85,23.71,95.0,20.73,58.51,1021.16,0.0
2026/07/18,01:00:00,18.72,57.75,23.57,95.0,20.71,58.77,1021.15,0.0
2026/07/18,01:20:00,18.86,57.15,23.46,95.0,20.75,58.65,1021.17,0.0
2026/07/18,01:40:00,18.61,58.16,23.34,95.0,20.67,58.8,1021.17,0.0
2026/07/18,02:00:00,17.85,60.76,23.25,95.0,20.26,60.04,1021.13,0.0
2026/07/18,02:20:00,18.25,59.73,23.2,95.0,20.26,59.74,1021.23,0.0
2026/07/18,02:40:00,17.74,61.23,23.15,95.0,20.02,60.67,1021.21,0.0
2026/07/18,03:00:00,17.28,63.51,23.08,95.0,19.68,62.07,1021.23,0.0
2026/07/18,03:20:00,17.1,64.98,23.01,95.0,19.49,63.13,1021.21,0.0
2026/07/18,03:40:00,16.92,65.42,22.91,95.0,19.4,63.77,1021.23,0.0
2026/07/18,04:00:00,16.24,68.95,22.78,95.0,19.02,65.29,1021.18,0.0
2026/07/18,04:20:00,15.97,70.09,22.64,95.0,18.8,66.75,1021.23,0.0
2026/07/18,04:40:00,14.73,75.36,22.52,95.0,18.36,70.15,1021.24,0.0
2026/07/18,05:00:00,13.77,81.71,22.49,95.0,17.64,73.49,1021.24,0.0
2026/07/18,05:20:00,12.46,87.79,22.44,95.0,16.85,77.76,1021.14,0.0
2026/07/18,05:40:00,11.98,89.53,22.36,95.0,16.3,79.26,1021.11,0.0
2026/07/18,06:00:00,13.33,88.39,22.22,95.0,16.7,76.09,1021.17,0.0
2026/07/18,06:20:00,13.15,88.41,22.08,94.96,16.93,76.69,1021.19,0.0
2026/07/18,06:40:00,12.96,90.21,21.96,94.58,16.6,78.19,1021.19,0.0
2026/07/18,07:00:00,15.28,80.72,21.84,94.13,17.55,74.37,1021.21,0.0
2026/07/18,07:20:00,19.56,61.73,21.76,94.01,19.22,68.03,1021.19,0.0
2026/07/18,07:40:00,21.45,55.35,21.65,94.0,20.53,63.78,1021.22,0.0
2026/07/18,08:00:00,25.47,44.4,21.55,94.0,22.45,59.36,1021.18,0.0
2026/07/18,08:20:00,27.9,37.78,21.5,94.0,23.97,55.5,1021.22,0.0
2026/07/18,08:40:00,29.1,34.67,21.49,94.0,25.03,52.54,1021.22,0.0
