Data,Hora,T1(C),H1(%),T2(C),H2(%),T3(C),H3(%),Solo_Bruto,Solo(%)
2026/07/16,11:00:00,44.34,15.8,24.35,95.0,44.13,28.85,1021.6,0.0
2026/07/16,11:20:00,44.94,15.87,24.41,95.0,44.33,28.58,1021.68,0.0
2026/07/16,11:40:00,47.69,17.24,24.81,95.0,45.96,27.29,1021.33,0.0
2026/07/16,12:00:00,47.84,17.43,24.96,95.0,46.18,26.88,1021.36,0.0
2026/07/16,12:20:00,47.36,17.02,25.06,95.0,45.2,26.75,1021.29,0.0
2026/07/16,12:40:00,47.47,17.15,25.14,95.0,45.58,26.65,1021.23,0.0
2026/07/16,13:00:00,47.11,16.78,25.26,95.0,44.8,26.59,1021.23,0.0
2026/07/16,13:20:00,47.46,17.19,25.51,95.0,44.78,26.43,1021.27,0.0
2026/07/16,13:40:00,47.14,16.91,25.7,95.0,45.1,25.6,1021.24,0.0
2026/07/16,14:00:00,48.35,17.97,26.08,95.0,45.89,25.51,1021.3,0.0
2026/07/16,14:20:00,47.08,16.79,26.19,95.0,45.59,25.75,1021.33,0.0
2026/07/16,14:40:00,46.32,16.33,26.37,95.0,44.96,26.12,1021.25,0.0
2026/07/16,15:00:00,44.58,15.77,26.5,95.0,44.0,26.61,1021.27,0.0
2026/07/16,15:20:00,43.2,14.88,26.55,95.0,43.48,27.1,1021.31,0.0
2026/07/16,15:40:00,43.54,15.17,27.01,95.0,43.38,27.15,1021.27,0.0
2026/07/16,16:00:00,41.31,14.72,27.26,95.0,42.2,27.99,1021.28,0.0
2026/07/16,16:20:00,38.9,16.32,27.38,95.0,40.57,28.45,1021.28,0.0
2026/07/16,16:40:00,38.04,16.98,27.83,95.0,37.87,31.13,1021.28,0.0
2026/07/16,17:00:00,34.9,20.49,28.23,95.0,33.68,35.48,1021.16,0.0
2026/07/16,17:20:00,28.32,29.99,28.42,95.0,29.34,41.52,1021.2,0.0
2026/07/16,17:40:00,24.89,36.39,28.17,95.0,26.89,45.88,1021.15,0.0
